query_duration,query_stream_id,query_id,data_scanned,cpu_time
3.551,8,12,231.89,449400
4.4,8,11,89.68,110040
2.759,3,3,38.94,112050
4.211,8,17,266.05,297010
4.396,8,12,231.89,449400
2.689,8,14,313.68,203000
7.78,8,8,441.41,472360
2.811,8,6,230.65,122430
9.239,16,7,4552.35,5192650
4.567,8,12,231.89,449400
3.865,8,19,309.56,361060
6.65,8,20,358.53,324170
5.87,8,17,266.05,297010
3.792,3,1,36.89,149560
4.335,8,2,79.16,386050
5.107,5,2,39.35,165450
4.424,5,1,110.61,448680
3.275,8,13,137.23,1022140
3.24,5,1,110.61,448680
2.776,7,11,65.49,78600
3.16,3,17,45.17,42430
5.104,12,11,299.68,361560
6.514,15,2,412.6,3253850
4.653,5,19,129.23,154740
6.782,5,8,175.68,202440
3.091,8,12,231.89,449400
10.31,19,20,19015.68,16486360
3.268,3,4,24.68,58190
3.776,3,1,36.89,149560
3.629,8,4,171.69,407330
3.181,15,22,425.06,1169380
9.809,15,8,3819.52,3981320
5.979,3,11,12.18,15720
9.622,13,9,2109.44,3963350
3.722,8,17,266.05,297010
6.755,13,20,1505.28,1435610
4.733,15,13,1198.08,8615180
6.862,8,9,492.09,894950
4.792,3,10,37.8,95110
2.614,8,4,171.69,407330
4.864,16,4,2119.68,4946150
3.594,8,4,171.69,407330
6.508,8,5,328.42,46333
5.47,15,19,2744.32,3043220
5.306,8,16,22.34,229530
7.245,8,5,328.42,46333
4.109,11,16,48.77,557430
5.585,2,2,10.0,55150
2.412,3,13,18.72,146020
2.106,5,6,98.91,52470
4.011,8,22,46.48,138740
3.729,8,4,171.69,407330
4.688,15,4,1474.56,3433210
1.948,8,4,171.69,407330
3.077,8,6,230.65,122430
3.344,8,15,630.71,324730
3.979,8,22,46.48,138740
6.489,13,14,1433.66,899000
3.712,5,15,251.44,139170
9.162,11,21,1873.92,1923380
4.119,8,15,630.71,324730
7.074,13,10,1208.32,2948410
3.199,8,12,231.89,449400
4.034,8,7,373.81,427630
9.446,12,9,1597.44,2940550
4.644,8,15,630.71,324730
4.352,13,4,770.67,1803890
7.238,15,4,1474.56,3433210
3.779,3,13,18.72,146020
6.913,8,8,441.41,472360
3.707,8,3,274.96,784350
4.33,8,13,137.23,1022140
4.515,8,17,266.05,297010
4.519,8,10,266.13,665770
27.567,19,18,10874.88,73222080
3.115,8,17,266.05,297010
25.156,19,18,10874.88,73222080
5.162,3,7,47.45,61090
3.805,13,22,218.97,614420
4.485,3,21,80.86,113140
4.937,13,6,1021.14,542190
6.087,15,3,2375.68,6610950
6.258,13,8,1955.84,2091880
3.354,5,1,110.61,448680
6.192,5,9,200.62,383550
7.296,13,5,1413.12,205189
4.392,8,16,22.34,229530
10.388,13,5,1413.12,205189
5.123,2,5,41.06,6619
4.792,8,20,358.53,324170
10.737,15,20,2949.12,2732290
23.116,19,18,10874.88,73222080
3.799,9,19,442.65,515800
3.176,8,14,313.68,203000
4.217,8,12,231.89,449400
5.767,8,17,266.05,297010
6.339,8,9,492.09,894950
5.526,8,12,231.89,449400
6.583,15,3,2375.68,6610950
4.03,11,11,202.01,267240
5.258,5,16,11.25,98370
4.904,3,9,71.45,127850
4.305,8,6,230.65,122430
4.445,8,13,137.23,1022140
8.774,8,9,492.09,894950
3.308,8,22,46.48,138740
4.91,8,11,89.68,110040
3.795,8,16,22.34,229530
5.25,8,2,79.16,386050
2.672,8,6,230.65,122430
5.128,13,15,2662.4,1438090
