database_id,scale_factor,query_id,start,cpu_time,data_scanned
2,10,1,7198932.2,51277.71428571428,1475.6
2,10,17,7199346.5,14547.42857142857,1806.8000000000002
2,10,2,7199556.4,18908.571428571428,400.0
2,10,20,7203136.9,15877.714285714286,2149.6
2,10,6,7203542.9,5996.571428571428,1319.1999999999998
2,10,8,7205727.2,23136.0,2574.4
2,10,17,7206388.7,14547.42857142857,1806.8000000000002
2,10,1,7207091.3,51277.71428571428,1475.6
2,10,1,7207255.1,51277.71428571428,1475.6
2,10,22,7207421.7,6795.4285714285725,251.6
2,10,2,7207891.1,18908.571428571428,400.0
2,10,10,7209089.1,32609.14285714286,1512.0
2,10,16,7209883.5,11242.285714285714,136.8
2,10,10,7210082.2,32609.14285714286,1512.0
2,10,19,7210570.5,17684.571428571428,2056.0
2,10,19,7211852.2,17684.571428571428,2056.0
2,10,16,7212070.0,11242.285714285714,136.8
2,10,1,7212353.3,51277.71428571428,1475.6
2,10,18,7212366.9,70518.85714285714,1064.0
2,10,22,7213065.1,6795.4285714285725,251.6
2,10,2,7214163.4,18908.571428571428,400.0
2,10,17,7214489.4,14547.42857142857,1806.8000000000002
2,10,16,7214523.0,11242.285714285714,136.8
2,10,20,7215007.1,15877.714285714286,2149.6
2,10,20,7215705.5,15877.714285714286,2149.6
2,10,10,7216386.0,32609.14285714286,1512.0
2,10,6,7216412.4,5996.571428571428,1319.1999999999998
2,10,10,7216816.5,32609.14285714286,1512.0
2,10,19,7217204.3,17684.571428571428,2056.0
2,10,4,7217508.5,19950.857142857145,987.2
2,10,10,7217690.0,32609.14285714286,1512.0
2,10,17,7217711.5,14547.42857142857,1806.8000000000002
2,10,2,7218583.8,18908.571428571428,400.0
2,10,17,7220486.9,14547.42857142857,1806.8000000000002
2,10,2,7220882.9,18908.571428571428,400.0
2,10,15,7221433.1,15905.142857142855,3167.2000000000003
2,10,8,7221646.8,23136.0,2574.4
2,10,4,7222452.7,19950.857142857145,987.2
2,10,6,7222857.9,5996.571428571428,1319.1999999999998
2,10,12,7223129.1,22011.428571428572,1327.6
2,10,19,7224163.6,17684.571428571428,2056.0
2,10,20,7225269.0,15877.714285714286,2149.6
2,10,22,7225537.3,6795.4285714285725,251.6
2,10,17,7226899.0,14547.42857142857,1806.8000000000002
2,10,11,7227669.4,5389.714285714286,487.2
2,10,14,7227735.4,9942.857142857143,2080.0
2,10,12,7230787.6,22011.428571428572,1327.6
2,10,20,7230893.9,15877.714285714286,2149.6
2,10,22,7232413.3,6795.4285714285725,251.6
2,10,4,7232534.2,19950.857142857145,987.2
2,10,8,7232714.8,23136.0,2574.4
2,10,3,7233051.8,38417.142857142855,1557.6
2,10,15,7233401.1,15905.142857142855,3167.2000000000003
2,10,10,7233510.8,32609.14285714286,1512.0
2,10,4,7233669.1,19950.857142857145,987.2
2,10,2,7233807.0,18908.571428571428,400.0
2,10,11,7235402.2,5389.714285714286,487.2
2,10,17,7235530.6,14547.42857142857,1806.8000000000002
2,10,19,7236369.7,17684.571428571428,2056.0
2,10,19,7237222.0,17684.571428571428,2056.0
2,10,19,7237682.6,17684.571428571428,2056.0
2,10,3,7237867.9,38417.142857142855,1557.6
2,10,18,7238135.4,70518.85714285714,1064.0
2,10,3,7238467.0,38417.142857142855,1557.6
2,10,3,7238646.5,38417.142857142855,1557.6
2,10,11,7238683.8,5389.714285714286,487.2
2,10,4,7239924.6,19950.857142857145,987.2
2,10,14,7240035.0,9942.857142857143,2080.0
2,10,22,7240114.5,6795.4285714285725,251.6
2,10,10,7240457.9,32609.14285714286,1512.0
2,10,4,7240861.8,19950.857142857145,987.2
2,10,4,7242448.7,19950.857142857145,987.2
2,10,6,7242461.3,5996.571428571428,1319.1999999999998
2,10,6,7244585.8,5996.571428571428,1319.1999999999998
2,10,16,7245707.2,11242.285714285714,136.8
2,10,4,7248219.5,19950.857142857145,987.2
2,10,20,7248803.1,15877.714285714286,2149.6
2,10,18,7250411.9,70518.85714285714,1064.0
2,10,18,7251014.3,70518.85714285714,1064.0
2,10,8,7251171.7,23136.0,2574.4
2,10,16,7251513.3,11242.285714285714,136.8
2,10,16,7251591.8,11242.285714285714,136.8
2,10,11,7252929.8,5389.714285714286,487.2
2,10,3,7255020.2,38417.142857142855,1557.6
2,10,16,7255783.5,11242.285714285714,136.8
2,10,20,7257302.1,15877.714285714286,2149.6
2,10,9,7258151.1,43834.28571428571,2858.0
2,10,6,7258256.6,5996.571428571428,1319.1999999999998
2,10,20,7258760.8,15877.714285714286,2149.6
2,10,6,7258933.5,5996.571428571428,1319.1999999999998
2,10,20,7259143.8,15877.714285714286,2149.6
2,10,20,7259383.0,15877.714285714286,2149.6
2,10,6,7259550.4,5996.571428571428,1319.1999999999998
2,10,9,7259576.3,43834.28571428571,2858.0
2,10,1,7261552.7,51277.71428571428,1475.6
2,10,14,7261623.2,9942.857142857143,2080.0
2,10,20,7261742.2,15877.714285714286,2149.6
2,10,2,7262000.3,18908.571428571428,400.0
2,10,20,7262000.7,15877.714285714286,2149.6
2,10,17,7262181.2,14547.42857142857,1806.8000000000002
2,10,1,7262202.6,51277.71428571428,1475.6
2,10,16,7262347.0,11242.285714285714,136.8
2,10,11,7262360.5,5389.714285714286,487.2
2,10,19,7262639.9,17684.571428571428,2056.0
2,10,1,7262685.6,51277.71428571428,1475.6
2,10,1,7262692.3,51277.71428571428,1475.6
2,10,19,7262700.0,17684.571428571428,2056.0
2,10,22,7263504.2,6795.4285714285725,251.6
2,10,10,7263827.3,32609.14285714286,1512.0
2,10,17,7264170.6,14547.42857142857,1806.8000000000002
2,10,16,7264813.3,11242.285714285714,136.8
2,10,8,7265931.3,23136.0,2574.4
2,10,4,7266103.1,19950.857142857145,987.2
2,10,3,7266312.5,38417.142857142855,1557.6
2,10,14,7266887.5,9942.857142857143,2080.0
2,10,4,7268105.7,19950.857142857145,987.2
2,10,18,7269220.4,70518.85714285714,1064.0
2,10,14,7269275.4,9942.857142857143,2080.0
2,10,20,7269419.5,15877.714285714286,2149.6
2,10,10,7270444.4,32609.14285714286,1512.0
2,10,3,7271125.7,38417.142857142855,1557.6
2,10,10,7271722.8,32609.14285714286,1512.0
