query_stream_id,query_id,start,query_duration,query_duration_with_queue,Data Scanned,cpu_time
8,21,497951,2545,2546,680.89,791980.0
8,6,498943,219,221,230.65,122430.0
8,17,499320,453,454,266.05,297010.0
3,6,499558,226,227,32.98,17490.0
5,1,499574,806,806,110.61,448680.0
3,8,500407,264,264,64.36,67480.0
13,19,500471,2178,2537,1413.12,1598980.0
19,10,504134,3526,3882,14151.68,33859160.0
8,15,504444,573,574,630.71,324730.0
11,10,504871,470,813,652.68,1616870.0
3,14,505105,180,181,52.0,29000.0
2,5,506071,754,1151,41.06,6619.0
8,5,508028,112,114,328.42,46333.0
8,18,508068,120,121,194.46,1439760.0
8,17,508717,436,437,266.05,297010.0
3,2,508915,339,340,10.0,55150.0
5,9,509533,1063,1063,200.62,383550.0
3,17,509729,301,301,45.17,42430.0
8,9,510476,896,897,492.09,894950.0
8,7,511924,517,518,373.81,427630.0
3,21,512688,1625,1626,80.86,113140.0
8,16,513326,1692,1694,22.34,229530.0
8,17,513605,581,583,266.05,297010.0
8,23,513707,0,1,0.0,
8,18,515052,134,135,194.46,1439760.0
8,19,515678,755,756,309.56,361060.0
8,11,516591,605,606,89.68,110040.0
8,3,517124,522,523,274.96,784350.0
5,16,517254,1560,1560,11.25,98370.0
13,8,518757,1462,1868,1955.84,2091880.0
19,9,519706,12975,13358,25948.16,45514600.0
8,7,519836,743,744,373.81,427630.0
5,20,520508,614,614,142.84,138930.0
