query_id,size,cpu_time,data_scanned,shuffled_mb
17,19,229.128,285.369,42.174
18,19,492.52,83216.188,1.989
19,19,130.787,4303.118,875.681
20,19,98.9,15789.0,499.0
21,19,323.795,74617.533,25.233
22,19,109.288,7637.105,869.893
1,0,0.796,304.647,0.0
2,0,0.087,0.507,0.135
3,0,0.227,130.677,0.229
4,0,0.245,16.198,0.0
5,0,0.236,29.875,1.067
6,0,0.009,3.919,0.0
7,0,0.144,38.813,0.572
8,0,0.356,15.374,0.314
9,0,0.507,45.703,1.194
10,0,0.301,44.079,10.816
11,0,0.03,22.803,1.628
12,0,0.037,4.263,0.0
13,0,1.343,48.144,18.125
14,0,0.024,12.765,1.713
15,0,0.043,13.678,5.889
16,0,0.13,23.142,8.057
17,0,0.169,0.347,0.034
18,0,0.957,233.757,0.006
19,0,0.112,8.701,2.46
20,0,0.042,2.71,0.808
21,0,0.674,130.76,0.057
22,0,0.076,21.651,2.055
1,1,0.796,304.647,0.0
2,1,0.087,0.507,0.135
3,1,0.227,130.677,0.229
4,1,0.245,16.198,0.0
5,1,0.236,29.875,1.067
6,1,0.009,3.919,0.0
7,1,0.144,38.813,0.572
8,1,0.356,15.374,0.314
9,1,0.507,45.703,1.194
10,1,0.301,44.079,10.816
11,1,0.03,22.803,1.628
12,1,0.037,4.263,0.0
13,1,1.343,48.144,18.125
14,1,0.024,12.765,1.713
15,1,0.043,13.678,5.889
16,1,0.13,23.142,8.057
17,1,0.169,0.347,0.034
18,1,0.957,233.757,0.006
19,1,0.112,8.701,2.46
20,1,0.042,2.71,0.808
21,1,0.674,130.76,0.057
22,1,0.076,21.651,2.055
1,2,0.796,304.647,0.0
2,2,0.087,0.507,0.135
3,2,0.227,130.677,0.229
4,2,0.245,16.198,0.0
5,2,0.236,29.875,1.067
6,2,0.009,3.919,0.0
7,2,0.144,38.813,0.572
8,2,0.356,15.374,0.314
9,2,0.507,45.703,1.194
10,2,0.301,44.079,10.816
11,2,0.03,22.803,1.628
12,2,0.037,4.263,0.0
13,2,1.343,48.144,18.125
14,2,0.024,12.765,1.713
15,2,0.043,13.678,5.889
16,2,0.13,23.142,8.057
17,2,0.169,0.347,0.034
18,2,0.957,233.757,0.006
19,2,0.112,8.701,2.46
20,2,0.042,2.71,0.808
21,2,0.674,130.76,0.057
22,2,0.076,21.651,2.055
1,3,0.796,304.647,0.0
2,3,0.087,0.507,0.135
3,3,0.227,130.677,0.229
4,3,0.245,16.198,0.0
5,3,0.236,29.875,1.067
6,3,0.009,3.919,0.0
7,3,0.144,38.813,0.572
8,3,0.356,15.374,0.314
9,3,0.507,45.703,1.194
10,3,0.301,44.079,10.816
11,3,0.03,22.803,1.628
12,3,0.037,4.263,0.0
13,3,1.343,48.144,18.125
14,3,0.024,12.765,1.713
15,3,0.043,13.678,5.889
16,3,0.13,23.142,8.057
17,3,0.169,0.347,0.034
18,3,0.957,233.757,0.006
19,3,0.112,8.701,2.46
20,3,0.042,2.71,0.808
21,3,0.674,130.76,0.057
22,3,0.076,21.651,2.055
1,4,1.593,609.294,0.0
2,4,0.174,1.014,0.271
3,4,0.454,261.355,0.458
4,4,0.489,32.397,0.0
5,4,0.472,59.75,2.135
6,4,0.018,7.839,0.0
7,4,0.287,77.626,1.145
8,4,0.712,30.749,0.629
9,4,1.014,91.405,2.389
10,4,0.602,88.158,21.633
11,4,0.059,45.606,3.256
12,4,0.074,8.526,0.0
13,4,2.687,96.287,36.251
14,4,0.048,25.53,3.425
15,4,0.085,27.356,11.778
16,4,0.26,46.283,16.115
17,4,0.339,0.695,0.067
18,4,1.915,467.515,0.011
19,4,0.224,17.402,4.921
20,4,0.084,5.42,1.616
21,4,1.347,261.52,0.115
22,4,0.151,43.302,4.109
1,5,2.389,913.941,0.0
2,5,0.261,1.522,0.406
3,5,0.681,392.032,0.687
