query,total_scan_mb,total_cpu_sec,shuffle_mb,expected_io,calculated_io,io_diff,expected_cpu,calculated_cpu,cpu_diff,expected_shuffle,calculated_shuffle,shuffle_diff
query_85,598.728,1.7439914,219.6088,0.46056,0.46055999999999997,5.551115123125783e-17,0.217998925,0.217998925,0.0,0.17568704,0.17568704,0.0
query_86,4064.92,30.4799436,2278.7476,3.126861538,3.1268615384615384,4.615383630834913e-10,3.80999295,3.80999295,0.0,1.82299808,1.82299808,0.0
query_87,64.255,33.9699035,0.0,0.04942692308,0.04942692307692308,3.076920662703486e-12,4.246237938,4.2462379375,5.000000413701855e-10,0.0,0.0,0.0
query_88,145.1265,1.07998425,5.56875,0.1116357692,0.11163576923076922,3.076922050482267e-11,0.1349980313,0.13499803125,4.9999976381442934e-11,0.004455,0.004455,0.0
query_89,1.057,0.609982,0.0,0.0008130769231,0.000813076923076923,2.3077026400919465e-14,0.07624775,0.07624775,0.0,0.0,0.0,0.0
query_90,18.114,0.469985,6.235,0.01393384615,0.013933846153846154,3.84615429782631e-12,0.058748125,0.058748125,0.0,0.004988,0.004988,0.0
query_91,,,,,0.0,,,0.0,,,0.0,
query_92,56.3766,3.7279882,14.388,0.04336661538,0.043366615384615385,4.615384463502181e-12,0.465998525,0.465998525,0.0,0.0115104,0.0115104,0.0
query_93,1594.692,0.859995,0.13,1.226686154,1.2266861538461538,1.5384626905756704e-10,0.107499375,0.107499375,0.0,0.000104,0.00010400000000000001,1.3552527156068805e-20
query_94,4.232,0.28999075,0.516,0.003255384615,0.0032553846153846157,3.8461551651880477e-13,0.03624884375,0.03624884375,0.0,0.0004128,0.0004128,0.0
query_95,2.02,4.459988,0.516,0.001553846154,0.001553846153846154,1.538461198713481e-13,0.5574985,0.5574985,0.0,0.0004128,0.0004128,0.0
query_96,1718.678,19.2479768,0.0,1.32206,1.32206,0.0,2.4059971,2.4059971,0.0,0.0,0.0,0.0
query_97,298.4826,119.6039902,148.6176,0.229602,0.229602,0.0,14.95049878,14.950498775,5.000000413701855e-09,0.11889408,0.11889408000000001,1.3877787807814457e-17
query_98,812.13,5.2959804,0.62,0.6247153846,0.6247153846153846,1.538458249683572e-11,0.66199755,0.66199755,0.0,0.000496,0.000496,0.0
