query,min,max_estimate,runtime_s,exec_wallclock_s,total_cpu_sec,other_wallclock_s,total_scan_mb,scan_wallclock_s,shuffle_mb,shuffle_wallclock_s,io_time,cpu_time,shuffle_time,sum_estimate,max.1,powermean_estimate,multiwave_estimate,sum_qerror,cpu_only_qerror,powermean_qerror,max_offset_qerror,powermean_offset_qerror,multiwave_offset_qerror,type,short,complex,long,scans,aggs,joins,mem,ssd,net,cpu,factor,extra,io_acc,shuffle_acc,cpu_acc,0.3,offset_2,sum_rel_error,cpu_only_rel_error,powermean_rel_error,max_offset_rel_error,powermean_offset_rel_error,multiwave_offset_rel_error
20.0,1.324552392,1.324552392,1.324552392,0.368,0.5,0.239,45.488,0.045,8.915,0.073,0.011372,0.03125,0.007132,0.2,0.03125,0.0412296,0.03776612391,1.84,1.591351351,9.744182401,1.063179348,1.080886206,1.090297826,,1.0,0.0,0.0,3.0,1.0,2.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,6.919377778,4.207287671,,0.3,0.3,-0.4565217391,0.06317934783,-0.8973746633,0.06317934783,0.08088620629,0.09029782609
21.0,4.29123341,4.907793445,4.602268023,3.223666667,34.81332633,25.19633333,68.892,3.15,40.213,3.145333333,0.017223,2.175832896,0.0321704,2.225226296,2.175832896,2.208003296,2.179460771,1.448691611,1.356857493,1.47911204,1.271245701,1.269429598,1.2553203,,1.0,0.0,0.0,4.0,1.0,3.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,9.929923114,9.469035571,,0.3,0.3,-0.3097219639,-0.2133700044,-0.3239186936,-0.2133700044,-0.2122446165,-0.2033905607
22.0,3.472049905,4.25580547,3.839376066,2.056,17.43998267,12.94966667,970.545,1.440666667,14.545,1.423333333,0.24263625,1.089998917,0.011636,1.344271167,1.089998917,1.101634917,1.165815328,1.529453321,1.593799788,1.763572627,1.417932094,1.347476305,1.40664401,,0.0,0.0,0.0,4.0,1.0,3.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,2.654939965,4.567294322,,0.3,0.3,-0.3461716115,-0.2947476086,-0.4329691986,-0.2947476086,-0.2578719223,-0.2890880756
23.0,11.97393272,12.56563226,12.24022217,10.418,134.9649603,96.93075,9815.38225,7.7225,1319.7965,9.586,2.453845563,8.435310016,1.0558372,11.94499278,8.435310016,9.767161663,9.531772778,1.146572545,1.206441921,1.092976117,1.184494916,1.053198475,1.028718643,3.0,0.0,0.0,1.0,18.0,8.0,11.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,2.804260379,7.070170371,,0.3,0.3,0.1465725454,-0.1557583014,-0.08506692478,-0.1557583014,-0.05051134789,-0.02791690704
24.0,5.522773705,6.836749951,6.179761828,4.1745,40.469946,34.583,10309.966,3.1465,190.456,6.191,2.5774915,2.529371625,0.1523648,5.259227925,2.5774915,4.2378553,4.073079689,1.259846191,1.529472924,1.024900154,1.421110495,1.061942673,1.101414613,1.0,0.0,0.0,1.0,7.0,3.0,5.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,1.093487157,13.68585708,,0.3,0.3,0.2598461912,-0.3078520481,-0.02429519968,-0.2963249491,0.06194267312,0.1014146125
25.0,1.794056306,2.488265849,2.124801167,0.381,0.2266543333,1.178666667,402.8343333,0.121,0.002,0.1013333333,0.1007085833,0.01416589583,1.6e-06,0.2,0.1007085833,0.1007101833,0.1042200962,1.905,1.77899473,3.655724891,1.20920888,1.218425449,1.20921308,1.0,1.0,0.0,0.0,8.0,1.0,7.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,3.311641185,2.960542105,,0.3,0.3,-0.4750656168,-0.01793728128,-0.7264564403,0.2092088801,0.2184254494,0.2092130796
26.0,1.239728833,1.239728833,1.239728833,0.35,0.3,1.237,18.986,0.103,5.392,0.015,0.0047465,0.01875,0.0043136,0.2,0.01875,0.0231108,0.02161464368,1.75,1.6,16.19272588,1.082142857,1.090327553,1.094602286,,1.0,0.0,0.0,5.0,1.0,4.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,2.958703883,20.28757333,,0.3,0.3,-0.4285714286,0.08214285714,-0.9382438752,0.08214285714,0.09032755337,0.09460228571
27.0,2.064251129,2.451260111,2.25775562,0.2965,0.349987,1.954,7.431,0.1625,3.369,0.015,0.00185775,0.0218741875,0.0026952,0.2,0.0218741875,0.0245693875,0.02285491551,1.4825,1.336342922,12.97313919,1.287939924,1.291247607,1.297029975,,1.0,0.0,0.0,5.0,1.0,4.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,1.857586154,20.17968,,0.3,0.3,-0.3254637437,0.2879399241,-0.9229176543,0.2879399241,0.2912476071,0.2970299747
28.0,3.125863321,3.98583992,3.587003128,1.754666667,9.41497975,1.21,405.584,0.39,2.158333333,0.3736666667,0.101396,0.5884362344,0.001726666667,0.691558901,0.5884362344,0.590162901,0.6162330284,2.53726279,2.225502317,2.847407695,1.850062875,1.797385067,1.846700881,3.0,0.0,0.0,0.0,6.0,6.0,0.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,1.029220513,1.238427716,,0.3,0.3,-0.6058744865,-0.45947783,-0.6488033653,-0.45947783,-0.443636192,-0.4584937874
29.0,1.48729649,1.834010294,1.61795541,0.3276666667,6.11999,1.575,98.373,0.1706666667,0.006,0.01266666667,0.02459325,0.382499375,4.8e-06,0.407097425,0.382499375,0.382504175,0.3866455273,1.242413301,1.777719354,1.179996523,2.266020473,2.278674041,2.266035122,,1.0,0.0,0.0,8.0,1.0,7.0,4000.0,4000.0,1250.0,16.0,1.5,0.36,1.901913574,23.68458947,,0.3,0.3,0.2424133011,1.266020473,0.1799965228,1.266020473,1.278674041,1.266035122
